Date,Artist,Venue,City,State,
"Aug. 02, 2008",Armor For Sleep,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",Hawthorne Heights,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",10 Years,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",Atreyu,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",Ashes Divide,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",The Bravery,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",Chris Cornell,Ford Ampitheatre,Tampa,Florida,
"Aug. 02, 2008",Linkin Park,Ford Ampitheatre,Tampa,Florida,
,,,,,
"Aug. 18, 2008",The Bangles,Orlando World Center Marriott,Orlando,Florida,
,,,,,
"Aug. 03, 2009",Kaiser Chiefs,St Pete Times Forum,Tampa,Florida,
"Aug. 03, 2009",Green Day,St Pete Times Forum,Tampa,Florida,
,,,,,
"Apr. 29, 2010",Alberta Cross,Florida Theatre,Jacksonville,Florida,
"Apr. 29, 2010",Ben Harper & Relentless7,Florida Theatre,Jacksonville,Florida,
,,,,,
"Aug. 24, 2010",ALO,Amway Arena,Orlando,Florida,
"Aug. 24, 2010",G Love ,Amway Arena,Orlando,Florida,
"Aug. 24, 2010",Jack Johnson,Amway Arena,Orlando,Florida,
,,,,,
"Nov. 02, 2010",The Secret Sisters,Times-Union Moran Theater,Jacksonville,Florida,
"Nov. 02, 2010",Levon Helm Band,Times-Union Moran Theater,Jacksonville,Florida,
"Nov. 02, 2010",Ray Lamontagne & The Pariah Dogs,Times-Union Moran Theater,Jacksonville,Florida,
,,,,,
"May 20, 2011",Le Butcherettes,Plush,Jacksonville,Florida,
"May 20, 2011",Dillenger Escape Plan,Plush,Jacksonville,Florida,
"May 20, 2011",Deftones,Plush,Jacksonville,Florida,
,,,,,
"May 26, 2011",Groundscore,Freebird Live,Jacksonville,Florida,
"May 26, 2011",Maylene & The Sons Of Disaster,Freebird Live,Jacksonville,Florida,
"May 26, 2011",Clutch,Freebird Live,Jacksonville,Florida,
,,,,,
"Jun. 25, 2011",Wheatherman,Freebird Live,Jacksonville,Florida,
"Jun. 25, 2011",Zach Deputy,Freebird Live,Jacksonville,Florida,
,,,,,
"Jul. 13, 2011",Ray Mills Band,Whisky River,Jacksonville,Florida,
"Jul. 13, 2011",Jamey Johnson,Whisky River,Jacksonville,Florida,
,,,,,
"Sep. 27, 2011",The Wobbly Toms,Café 11,St. Augustine,Florida,
"Sep. 27, 2011",Matrimony,Café 11,St. Augustine,Florida,
"Sep. 27, 2011",Langhorne Slim,Café 11,St. Augustine,Florida,
,,,,,
"Oct. 16, 2011",Traverser,Brewster's Pit,Jacksonville,Florida,
"Oct. 16, 2011",Manna Zen,Brewster's Pit,Jacksonville,Florida,
"Oct. 16, 2011",In Whispers,Brewster's Pit,Jacksonville,Florida,
"Oct. 16, 2011",Down Theory,Brewster's Pit,Jacksonville,Florida,
"Oct. 16, 2011",Helmet,Brewster's Pit,Jacksonville,Florida,
,,,,,
"Dec. 29, 2011",Samuel Sanders,Jack Rabbits,Jacksonville,Florida,
"Dec. 29, 2011",Zach Deputy,Jack Rabbits,Jacksonville,Florida,
,,,,,
"Feb. 02, 2012",Ryan Montbleau Band,Café 11,St. Augustine,Florida,
,,,,,
"Mar. 10, 2012",The Dewars,Café 11,St. Augustine,Florida,
"Mar. 10, 2012",Langhorne Slim,Café 11,St. Augustine,Florida,
,,,,,
"Mar. 11, 2012",Hank 3,Brewster's Pit,Jacksonville,Florida,
,,,,,
"Sep. 28, 2012",Zach Deputy,Freebird Live,Jacksonville,Florida,
,,,,,
"Oct. 12, 2012",The Last Bison,Underbelly,Jacksonville,Florida,
"Oct. 12, 2012",Langhorne Slim,Underbelly,Jacksonville,Florida,
,,,,,
"Oct. 26, 2012",Zac Brown Band,Jacksonville Arena,Jacksonville,Florida,
,,,,,
